cid,mp
8193,24.00
7580,25.40
9086,12.40
28015,350.00
8209,37.70
15086,16.15
31238,10.00
8425,48.50
6979,116.50
7048,10.50
14676,188.25
2901,330.00
1732,67.00
6233,109.00
6269,138.00
6417,35.50
16682738,23.00
6491,178.00
6502,204.00
6510,58.00
6547,40.56
6565,10.00
4,1.74
6610,179.90
6618,179.00
6625,147.90
6628,62.00
6638,33.00
6643,94.50
6649,155.00
6673,182.00
6681,221.00
6688,196.00
6697,170.00
6777,66.00
6788,2.50
6813,128.00
6815,209.00
6924,156.30
6937,46.00
6942,110.00
6953,83.00
6984,14.00
6997,18.00
135408793,210.00
7040,18.30
7042,138.00
7055,34.60
7064,227.50
7093,46.00
7103,164.50
7104,222.50
7108,185.10
7115,210.10
7230,104.00
7246,30.00
7249,62.50
7262,50.00
7267,74.50
7308,150.00
7309,23.00
6,53.00
7333,179.00
17100,37.50
7397,70.00
7398,55.00
7403,165.00
7440,30.50
7451,43.50
7455,33.20
7488,83.00
7495,60.00
7508,2.00
79,51.00
7517,89.50
7522,29.00
7569,85.00
7573,75.00
7589,18.00
7591,52.50
7594,150.00
7597,80.50
7607,43.00
7648,125.00
7671,47.05
1752,42.00
7789,82.00
7820,19.50
6514,16.80
7913,190.00
7935,62.50
7948,64.00
7963,3.68
8031,92.00
8492,108.00
31398,150.00
8521,175.60
8689,98.00
8814,85.00
1474,72.00
11123,63.50
11814,86.50
11844,24.00
11872,85.00
12281,52.00
12443,280.00
12477,103.00
14832,1117.00
15433,130.50
15752,153.00
16680,6.00
17946,21.00
8458,133.50
9154,110.20
16682938,145.00
9564,144.50
10241,84.00
10317,118.25
11086,20.00
11122,69.00
11553,62.50
11595,96.00
11596,53.00
11761,63.00
11852,229.50
11883,58.00
11943,90.00
12075,52.50
12332,101.00
12364,220.00
12703,20.00
12798,97.50
13010,96.00
15216,241.50
15529,156.00
16681,110.00
16987,146.50
17170,250.00
8065,7.00
743,97.75
8139,5.20
8158,12.40
9237,158.00
9268,60.40
760,98.00
5283387,76.00
9445,220.50
8181,30.00
8206,11.50
8207,32.50
8212,23.00
5365371,77.50
8215,79.95
1483,95.00
8398,123.00
8430,38.70
8491,68.00
24730,45.00
31236,14.00
31242,46.00
31284,19.00
11807,31.00
31335,164.00
31352,216.00
31405,37.00
8572,144.00
8623,10.20
4445035,384.00
8755,60.50
8772,288.00
8795,-8.00
643684,5.50
8840,48.00
8883,95.00
24181102,63.50
8773,159.00
16666,42.00
62034,44.50
10346,62.10
10481,214.00
10472,77.00
11083854,99.00
10698,73.00
10724,8.00
10747,15.50
10927,115.50
10946,46.00
11005,53.90
11130,260.00
11146,55.00
86287517,239.00
11369,3.50
14834,400.00
2735122,167.00
10313079,277.50
12012,7.50
12053,36.00
12088,256.00
638144,0.80
12276,162.00
12389,5.87
12391,9.95
12395,4.10
12404,66.10
12491,11.50
12496,118.00
12532,41.00
12620,72.50
12736,131.00
12738,61.00
3032354,87.00
13101,50.00
13271,133.50
13618,58.00
13842,111.00
71311066,1370.00
518710,1940.00
14811,1472.00
9833931,1700.00
14828,1194.00
138394846,800.00
14855,51.00
15407,1494.00
15513,239.00
15797,45.50
16238,14.50
16476,22.00
16584,125.50
16637,64.00
16990,90.50
17004,55.00
17016,58.00
17596,281.00
17721,79.00
16726,226.60
17783,128.00
18085,65.00
12484,215.00
7369,14.50
7434,121.30
15122,3.50
23031,272.00
9158,217.00
7805,28.50
8374,142.00
447,158.00
6318,243.00
8497,140.50
7657,3.60
3037,177.50
2723593,165.00
4266,175.00
1727,159.00
12414,200.00
737139,146.00
8540,107.00
5859,53.00
12310946,241.00
2723789,183.00
22833476,340.00
24833,632.00
10475,320.00
5281735,96.70
24642,430.00
10332,85.00
12688,43.00
17593,63.50
21484,147.00
22691,121.00
4068533,300.00
37840,222.00
521949,136.50
7098,34.00
8620,231.50
11169,17.50
13286,135.00
14741,0.00
15088,67.50
18728,73.50
22206,175.50
9117,278.30
13940,181.50
522524,235.00
15559699,160.75
29078,920.00
26089,316.00
25136,1400.00
31426,270.50
27324,274.00
11990,250.00
14532,71.50
7951,0.00
21208,161.00
29949,170.00
21379,107.00
7252,64.00
9964072,487.00
25516,238.00
24549,830.00
24833,632.00
11859,101.00
27582,57.00
6944,12.22
9492,108.00
517111,58.00
11312,63.50
24008,1170.00
24459,501.00
24826,480.00
6518,140.50
5282443,60.00
7482,71.00
10478,146.70
12671,32.00
16416,207.50
24682,62.20
2770,581.00
24808,1152.00
26031,327.00
22061591,35.50
16322,1.00
2331,130.00
20803,255.00
24087,100.00
5234,800.70
5831,201.50
6143,73.00
967,345.50
2406,188.00
7365,158.00
31304,203.00
16682936,41.00
9271,121.00
10793,45.00
10923,0.10
11167,36.00
2787703,162.00
12449,210.00
12540,103.50
13943,168.00
14016,37.50
14300,160.50
14322,76.50
14957,139.50
15432,142.00
3000706,190.00
17386,37.30
17522,14.50
19402,140.00
19958,132.00
20056,105.00
26010,77.90
31070,49.00
31657,101.00
32184,5.00
40813,224.00
12067,93.00
446220,98.00
6468,46.50
5462328,173.00
135398737,183.50
23939,1768.40
18636,331.00
13109,206.00
5284499,16.00
10297,101.25
5759,124.50
12374,41.50
9635,14.37
16682746,45.00
2200,121.00
5281069,177.50
5405,147.50
4612,148.00
135398513,256.75
135398740,250.00
35370,109.00
3950,90.00
441307,142.00
441325,156.00
2249,147.00
44093,103.50
39186,212.00
104769,85.50
33624,72.00
53232,179.00
68552,214.25
4828,172.00
135403648,245.00
452548,244.00
439693,222.50
135398739,161.50
1988,10.60
44072,124.50
93357,79.50
91634,210.00
39230,85.00
6442842,69.00
170012,235.50
44465,150.50
16422,53.50
25429,300.00
15553,151.50
7542,113.00
104926,60.00
2912,70.00
47866,224.90
1489,119.00
40585,90.00
39985,40.00
54676884,216.00
37123,228.00
54778,25.00
41385,168.00
34468,98.50
10342051,59.60
16683004,138.50
62857,158.65
51605,53.50
47326,47.50
7560,133.50
50897,13.00
43079,154.50
50465,232.00
47898,108.00
51556,220.00
53597,215.00
39965,117.20
13218777,105.50
37175,52.70
49901,190.00
54738,171.00
54740,173.00
73672,177.50
12940701,31.00
40896,184.00
6336,65.50
27189,75.00
38479,56.50
441871,169.00
