cid,mp
5143,"228 °C decomposes"
23662386,"Decomposes"
338,"159 °C"
7758,"-98.9 °C"
6568,"-114 °C"
1089,"58 °C"
24558,"-50.8 °C"
24007,"340 °C under pressure"
24647,"8.5 °C"
5951,"228 °C (decomposes)"
9863,"2600 °C"
24261,"3110 °F"
24816,"-70 °C"
24556,"-90.2 °C (UNDER PRESSURE)"
24470,"212 °C"
7158,"179-181 °C"
5360545,"97.82 °C"
517045,"324 °C"
26266,"Begins to melt at 183 °C with decomposition to evolve hydrogen"
24533,"210 °C"
23667548,"218 °C decomposes"
33557,"275 °C (decomp)"
517055,"436 °C (OECD Guideline 102 (Melting point / Melting Range))"
516892,"Approximately 50 °C"
5462222,"63.5 °C"
4311764,">400 °C (vacuum) (decomposes)"
957,"-14.7 °C"
15666,"149.6 °C"
8418,"216 °C"
24482,"131 °C"
243,"122.35 °C"
73415800,"1540 °C"
7439,"MP: 25.2 °C. Very soluble in ethanol; soluble in ether, carbon tetrachloride, chloroform /L-Carvone/"
10476,"52 °C"
N/A,"-40 °C"
444972,"287 °C decomposes"
7361,"-14.6 °C"
6466,"233-235 °C (effervescence)"
11177,"88.5 °C (pure)"
6251,"166-168 °C"
6570,"FP: 20 °F = -7 °C = 266 deg K"
24823,"-192.7 + or - 2 °C"
3032552,"-9.3 °C"
30318,"40.6 °C"
6654,"-62.5 °C"
6998,"-7 °C"
5054,"109.8 °C"
31292,"107 °C"
23665763,"Decomposes"
24268,"308 °C"
6506,"-55 °C"
173000778,"250 °C (decomposes)"
2724247,"200 °C"
516902,"248 °C"
23668197,"Decomposes as it melts between 180-200 °C"
8929,"563 °C"
25408,"356.7 °C"
23672064,"200 °C (decomposes)"
6377,"-65 °C"
16212360,"200-202 °C; decomposes above melting point"
2723810,"253 °C"
N/A,"DECOMP AT 800 °C"
24489,"52 °C (decomposes)"
23665760,"MP: 18 °C /Pentahydrate/"
23675764,"MP: decomp"
5238,"651 °C"
23266,"1089 °C"
23664719,"130-140 °C"
10942334,"Melting point: decomp. Soluble in cold water. Soluble in methanol. /Solvated form/"
N/A,"Melting point: -81.3 °C /1-Nonene/"
23668193,"271 °C"
23665730,"232-235 °C"
2735111,"270 °C"
23679004,"171-178 °C"
23673458,"Decomposes"
14803,"460 °C, decomp"
9357,"90-100 °C"
24934,"710 °C (decomposes)"
10791,"Decomposes"
28127,"Melts at red heat with decomposition."
14804,"1180 °C (IN VACUO)"
N/A,"-46.6 °C"
16218600,"49-65 °C"
6323,"-93.7 °C"
N/A,"165 °C"
24287,"-33 °C"
16248,"119 °C"
24550,"213 °C"
24813,"1.25 °C"
9359,"-88 °C"
24641,"120 °C (Decomp)"
24848,"570 °C"
14807,"215 °C (DECOMP)"
20848,"151-152 °C"
11726,"Decomposes >200 °C"
1110,"188 °C"
7922,"119.6 °C"
31248,"125 °C (decomp)"
1057,"133 °C"
5987,"205 °C"
6371,"-118 °C"
5344,"194 °C"
25353,"-122 °C"
612,"16.8 °C"
5780,"111 °C"
11954021,"Melting point: 106-107 °C cis-isomer; 104-105 °C trans-isomer"
6341,"-81.2 °C"
6363,"-95.119 °C"
2735101,"Decomposes on heating"
11957628,"89 °C"
6339,"-160.5 °C"
1146,"-117.08 °C"
6049,"245 °C"
6329,"-93.42 °C"
2365,"-33.4 °C"
6351,"-127.4 °C"
878,"-123 °C"
6343,"-147.8 °C"
445354,"62-64 °C"
493570,"280 °C (decomposes)"
54670067,"190-192 °C (some decomposition)"
3249,"116.5 °C"
5280795,"84-85 °C"
379,"16.5 °C"
17358,"-50.8 °C"
24807,"-77 °C"
24648,"-54.1 °C"
17607,"-135.82 °C"
24612,"237 °C"
16129778,"200 °C"
6675,"Decomposes about 125 °C"
N/A,"Melts to an extremely viscous gel at 327 °C"
7489,"427 °C (sealed tube)"
6410,"-8 °C"
16043,"126.5-128.5 °C"
21801,"-55 °C"
6399,"-90 °C"
6511,"133.41 K / -133.7 °C/"
7873,"Solid below 32 °F"
8200,"-9.4 °C"
8301,"-131.15 °C"
8948,"160.5 °C"
6810,"Crystals from petroleum ether. MP: 103.5 °C. Soluble in ethanol, acetone, chloroform, benzene; slightly soluble in petroleum ether. /cis-1,2,3,6-Tetrahydrophthalic anhydride/"
N/A,"562 °C"
11026,"Approx 20 °C"
17601,"-64.5 °C"
4870,"202.5 °C"
8063,"-91.5 °C"
10509,"13.8 °C"
24403,"988 °C"
11247,"131 °C"
8096,"134 °C"
24386,"-104.5 °C"
24385,"1001 °C"
19883,"-35 °C"
5455,"155-156 °C"
23960,"1750 °C"
26293,"White, crystalline mass. MP: 500 °C (decomposes). Soluble in water and alcohol. /Tetrahydrate/"
6989,"49.6 °C"
23963,"1668 °C"
26042,"1855 °C"
24193,"-24.1 °C"
8285,"258 °C"
11443,"20.5 °C"
7296,"-142.5 °C"
7622,"-70 °C"
6050,"-75 °C"
24456,"1670 °C"
25523,"2150 °C"
5853,"82.2 °C"
6327,"-97.6 °C"
8260,"-105.6 °C"
6909,"246.7 °C (decomposes)"
24811,"-126.5 °C"
6413,"-95 °C"
7618,"21.5 °C"
992,"174 °C"
31215,"-112 °C"
8471,"-114.7 °C"
7357,"-93 °C"
8172,"-7 °C"
